clear,score,Label
suka bis ini akhir siar kalo smpek mn turun marmoyo mesti kebablasen purabaya krn joyoboyo oper bis wiyung helper nya pernh omg nympek halte apa ,2,Negatif
bantu kurang bayar pakai kartu e tol kartu e money tingkat ya sekian terima kasih,5,Positif
info baru bayar pakai apa kalo botol bisa mkstnya pakai dana gopay,4,Positif
kasih bintang kalo layan buruk kasih bintang ,5,Positif
super ap thanks ,5,Positif
foto profil ganti menu ubah profil bisa mohon baik,4,Positif
susah rakyat kecil bis senang anak bisa gara gara hp an pakai aplikasi,1,Negatif
tau anak bis mayapada tingkat tsb bayar aplikasi pemuda tawar bayar aplikasi milik tolak sih kondektur anak paksa turun halte ikut tanya kacau asa anak ,1,Negatif
bayar pakai e money masuk bus suruh turun saldo shopepay kurang kalo top up transfer akun kasih biaya top upnya mau mohon tugas nya layan masyarakat mudah robot toleransi warga surabaya tamu kota surabaya akun e money akun e money saldo nya kurang angkot jarang sekali dulu sekian,1,Negatif
posisi bus deteksi bus nya berangkat sesuai tentu,2,Negatif
bantu,5,Positif
bantu transportasi,5,Positif
mantap,5,Positif
bingung ya pakai arah mayjend takut nyasar,1,Negatif
login eror email pasword benar terima kasih,3,Negatif
mantap,4,Positif
rute unesa its kasih posisi bus trans semangi biar kosong aja biar ribet instal aplikasi ,3,Negatif
bus surabaya the best,5,Positif
bantu mahasiswa,5,Positif
layan nya bagus nukerin botol camat aplikasi ini mantap deh surabaya,5,Positif
bagus,5,Positif
cakep banget,5,Positif
time table mu ampas iki aplikasi arek magang seng enek product manager e pasti ,1,Negatif
alhamdulilah bagus,5,Positif
bagus,4,Positif
kalo surabaya bis lewat taman wisata obyek wisata surabaya,4,Positif
prioritas nakes tq,5,Positif
suroboyo bis mudah mana apa uang tranfot tabung trakasih gob suroboyo ,5,Positif
bantu posisi bis ,5,Positif
pusing coba aplikasinya tombol search mana entar tingal masuk halte turun halte mana rute contoh mer its langsung arah galaxy ,2,Negatif
ok,5,Positif
tolong kasih tau pakai nya ,5,Positif
gob suroboyo ya,5,Positif
layan ramah,1,Negatif
maf layan suroboyo bus rute unesa its aktif apk gob dan layan rute lidah wetan kejawan putih trans semangi suroboyo apk gob mohon tangap nya masyarakat kecewa transportasi suroboyo bus program walikota surabaya tri rismaharini terimakasih ,4,Positif
tanya knp alplikasi buka tlg,5,Positif
keren,4,Positif
oke,5,Positif
daftar menber,2,Negatif
alhamdulilah akun aktif go bus asyik,5,Positif
ok,5,Positif
kasih bintang download aplikasi sulit mutermuter tok,1,Negatif
banding jakarta transpor surabaya turut kurang rute bus jangkau daerah surabaya sekitar kalo rute tambah ampel situ lumayan padat orang pulang pergi ampel trus tiket naik lumayan mahal jangkau,1,Negatif
koridor unesa its muncul rute aj bus jalan ,3,Negatif
login pakai email ya tulis pasword alamat email salah email pasword ku,2,Negatif
mantap tingkat layan,5,Positif
rute unesa its ksihan ajar susah transport,2,Negatif
sy bintang nilai bagus transportasi surabaya tolong perhati bayar orang aplikasi m banking hp muat qris kalo helper saldo orang fasilitas m banking lain y mudah pergi transportasi bus suroboyo terima kasih,5,Positif
daftar foto up tau,3,Negatif
bagus banget contoh angkut kota lain warga surabaya hafal jalan tolong wisata tempat kasih tanda map jalan bus nya rute bus cantum tau ganti bus daerah aja terima kasih suroboyo bus sudah kesan jalan kota surabaya ,5,Positif
voucher tukar botol tukar mana opo ya buang saja gak onok kompensasi ,1,Negatif
aplikasi bantu bis suroboyo ap ini saran fitur chat customer service berita update langsung edit pm kesel banget pengin nang tulis pulang kerja lihat orang bis sb henti alias lambat laju langsung pergi henti halte kecewa ,2,Negatif
muas layan nya,5,Positif
armada rute,5,Positif
gob bantu,5,Positif
gps akses tumpang ,5,Positif
nice aplikasi surabaya ,5,Positif
bus beroprasianal ta ,5,Positif
bantu,4,Positif
mudah transaksi tiket bis,5,Positif
prosedur partisipasi umkm aplikasi gob suroboyo,4,Positif
aplikasi baik ,5,Positif
daftar notifikasi eror,1,Negatif
aplikasi mengunakanya,5,Positif
lihat gera bus nya ya kali tugas mslah jaring ibu samping lihat knp lihat busny,5,Positif
min rute nya tambah surabaya utara rajawali,1,Negatif
ga asyik sb ditunguin henti bus pintu bis buka tingal ditriakin henti,2,Negatif
senang,5,Positif
syukur nya bus suroboyo gagas walikota bu risma fleksibel walikota eri cahyadi bantu masyarakat kota surabaya mari budaya bus tips hemat ga capek tips kurang macet tips kurang polusi sukses kota suroboyo rek rm,5,Positif
bagus biar bawa botol plastik,1,Negatif
transportasi nyaman bantu masyarakat,5,Positif
deskripsi tempat wisata religi kulier museum surabaya,4,Positif
gw tungu halte dilewatin doang henti sesuai halte bus nya dikit jauh tungu lama ,3,Negatif
senang suroboyobus ini jdi jalan anak,5,Positif
aplikasi lumayan bantu atur profil member susah pulih akun lupa pasword ada mohon baik ya,2,Negatif
ok,4,Positif
susah masuk daftar email kali bisa masuk kode,1,Negatif
betul mingu nya libur jam efektif nya salah nya atur efektif benar ,1,Negatif
aplikasi guna,5,Positif
mbantu,5,Positif
gimana sih min sampe ganti email bolak daftar member ,1,Negatif
yuk,5,Positif
harap fitur ganti alamat email ,1,Negatif
eror posisi bus tepat,2,Negatif
ok banget bantu sekali ,5,Positif
service nya lumayan bersih jaga bersih mantap pokok e rek,5,Positif
service,5,Positif
ok,5,Positif
recomended deh jalan surabaya,5,Positif
bantu,5,Positif
halo kak nanya coba naik bayar nya pakai tunai ya pakai botol rumah botol bekas,5,Positif
nyaman bersih bis nya pokok e enak dech dan bantu mksh srby bis,5,Positif
bantu aplikasi dinformasikan maks jml tumpang naik angkut nol calon tumpang cari angkut alternatif lain tungu lama tungu zonk kasihan ketemu calon tumpang usia lanjut bawa hp hp jadul moga perhati mang bijak terima kasih ,4,Positif
aplikasi fungsional baik saran kembang ui ux nya lagi biar user betah aplikasi,5,Positif
bantu ada bus mana ,5,Positif
tdk tungu kecuali kalo penuh,5,Positif
regis indak bisa bad ui ux daftar pasword nya kasih secure field text kalo disen kasih fiturnya leta petak masyalah min loh orang surabaya kompeten,1,Negatif
bagus,5,Positif
buruk,1,Negatif
ya aplikasi bus ya rute bus ya mana sudah bolak cek rute bus ya mana mohon bantu,4,Positif
,5,Positif
suka keliling surabaya yeay makasih,5,Positif
ok,5,Positif
coba angkut,5,Positif
min tolong baik login dong email masuk verifikasi data akun nih,3,Negatif
ubah profil muncul pasword isi minimal karakter ganti pasword tolong solusi,3,Negatif
gpsnya kadang,5,Positif
timetable bagus sayang update geser kanan kiri diperbaikin ya,3,Negatif
kasih terang bus posisi ful nampung tumpang jos aplikasi ,4,Positif
samsung gift indonesia hebat cerdas ,5,Positif
layan baik bus nyaman bersih,5,Positif
neng tracking posisi bus simpan poin tukar botolx,5,Positif
bus terbaik ,5,Positif
bantu ,5,Positif
daftar ribet ya akun eror lah daftar pakai akun lah pasword salah lah mau sih ribet botol masuk point angus nih tolong dishub sulit masyarakat dong pakai stamp kayak kemarin saja bikin ribet aja,1,Negatif
,5,Positif
god,4,Positif
daftar loadingnya lama habia refres daftar tulisnya akun daftar login ,3,Negatif
tungu tungu jalan bus sedikit ,1,Negatif
perfect banget suroboyo bis ini gratis bayar pakai sampah plastik nyaman puol pulang pergi kerja bis ini moga rute jangkau jangkau lyn angkot suroboyo juga baik nasib supir angkot karyawan suroboyo bis moga limpah rejeki sehat amin saran bayar pakai linkaja ovo,5,Positif
coba armada pengin banget naik bingung tukar botol numpuk kantor kerja rumah ,5,Positif
gob suroboyo,5,Positif
god,5,Positif
aplikasi bus,4,Positif
bantu banget gob nyaman bersih,5,Positif
baik,5,Positif
layan kecewa sopir omel pula bilang henti arah halte rajawali henti halte pemkot huh ,1,Negatif
maf kasih bintang aktif,3,Negatif
tolong bayar nya pakai e money,1,Negatif
tolong tolong mncul point nya ap eror srh online mber tukar botol malu enak tugas cecking tiket en ribet juga lekas baik ndan ,1,Negatif
kali kali antri naik tugas bus penuh bus kosong tungu bus belakang bus sampai bilang penuh bilang bus kosong eh penuh terus gue pakai scan halte kagak fungsi eh pas tugas bilang penuh pamer lambai lambain tiket masuk ak i just want go home dah pas bus pulang eh tugas masker dicantolin leher,1,Negatif
tolong kakak mbak developer informasi jam operasi bis dipasng informasi aplikasi,5,Positif
scan tungu halte fungsi tolong konsisten menit bus biasa ngetem budhal teko halte embong malang halte darmo park jam lebih iki bis piknik gawe wisata opo bis suroboyo ,1,Negatif
email sugnup manual daftar kan lama baik apsnya,1,Negatif
apik pol,5,Positif
atur suhu nya rusak tolong ganti nya pas ecek omong nya suhu nya ecek suhu tingi sih alat suhu rusak pakai,1,Negatif
mantul,5,Positif
mantap bang jago,5,Positif
manfat,5,Positif
tolong baik sistem bikin membernya x daftar bisa loading trus masuk akun daftar login bikin pakai akun gmn sih niat mudah sulit berkembang deh sistem member,1,Negatif
god geprek ,5,Positif
bagus kerene apknya,5,Positif
ok ya,5,Positif
asa bus negeri,5,Positif
bus nyaman bantu kerja sukses surabaya bus,5,Positif
sip,5,Positif
pake im icon bis muncul nih bisa tolong baik ,1,Negatif
posisi bus jaring bagus,3,Negatif
eror muncul rute nya mana dm ig nya bilang sinyal saya aneh pdhl kuota g gb,3,Negatif
go bis bantu banget bersih nyaman sdh bantu gob cm t akhir apk nya akses pakai jaring inet saya sdh uninstal instal ulang ber kali saja sy lihat posisi armada kalo pakai jaring wifi apk masalh go bis bisa sy provider blm bisa pakai,3,Negatif
ngecek posisi bes nya kuota penuh ,2,Negatif
terkadang gbr bus rute lihat ,3,Negatif
aplikasi dalama baru aplikasi pakai,5,Positif
akurat,5,Positif
seru banget bis ini nyaman juga depan buat rute tempat wisata suramadu hutan mangrove kenjeran biar enak terimakasih,5,Positif
aplikasi tarik fungsi bantu orang kendara,5,Positif
bus nyaman bersih aman mohon armada bus jalur unesa its halte tungu nyaman duduk tutup panas,4,Positif
i m realy to love suroboyo bus because the best,5,Positif
,4,Positif
aplikasi bantu moga bus tambah terimakasih bu risma,5,Positif
bu risma rute biar kayak korea bu enak halte bis cakup wilayah ,3,Negatif
layan lambat henti katajya cuna menit setengaj jam tengah jalan ngetem beli makan keindomaret layan masyarakat ya rugi,1,Negatif
bus surabaya bersih nyaman ac nya adem pokok e the best,5,Positif
mentang bayar botol layan e koyok telek enak blas ,1,Negatif
sempat naik moga,5,Positif
pencet,1,Negatif
suroboyo bus adakan suroboyo ojek taxi angkot bus kota gandeng ojek online taxi online ada buat aplikasi sopir angkot bus kota win win solution kondisi ojek online taxi online angkot bus kota relatif sepi buat becak juga jadi botol gelas plastik tukar saldo transportasi online belanja online transaksi lain ,3,Negatif
soroboyo bus soroboyo bus soroboyo bus,5,Positif
bagus monitor gera bus nya utk armada kurang tungu lama ,3,Negatif
pandemi covid suroboyo bus tuju apa lenapa turun sesuai tuju saya ingat kali jalan kalo jalan salah kalo jalan tuju,1,Negatif
gatau bus nya posisi henti mana scan barcode bisa mohon baik,2,Negatif
coba mantap,5,Positif
bantu,5,Positif
akurat bus nyaman sekali ,5,Positif
lihat posisi gob,5,Positif
enak banget bus suroboyo nyaman aman salut go bus,5,Positif
bantu gob mohon d perhati masyarakat surabaya gob baik jaya lancar terima kasih bu risma sayang masyarakat berkah kru gob,5,Positif
bersih nyaman,5,Positif
bersih nyaman aman tepat waktu sangat bantu masyarakat kecil betul pihak masyarakat kalo pikir terobosan pihak masyarakat terimakasih bu risma suabaya maju karena kerjasama masyarakat,5,Positif
keren banget moga kota surabaya modern rapi bersih indah ,5,Positif
mantab,5,Positif
aman bersih,5,Positif
oke aplikasi,5,Positif
tracking map posisi bus lihat posisi baik aplikasi ,1,Negatif
gob transportasi bersih aman nyaman tkq gob ,5,Positif
tingkatkn pelayan,5,Positif
seru kaliya kalo benowo ada moga tambah rute tervapai surabaya putar bus ini layak trans jakarta trans semarang,4,Positif
aplikasi bagus bantu butuh rute angkut sby mohon baik maps angkut wisata taman mudah cari rute jalan,5,Positif
bus lama tungu halte menit tolong dishub surabaya unit m bus tambah thanks,5,Positif
,5,Positif
manfat ,5,Positif
min pakai gelas kfc mcd tehracek tongtji dl gak,5,Positif
aplikasi bagus mal nya tingal jmp pasar atum mal itc bang junction grand city ,5,Positif
download aplikasi langsung pakai alhamdulilah puas lokasi titik bus akurat ,5,Positif
mantap,5,Positif
aplikasi bagus sip tdk terang wisata detail lokasi biaya msknya tlng baik update versi baru terima ksh ,4,Positif
bantu posisi bus halte dekat,5,Positif
bagus layan bis nyaman banget kru nya ramah sayang layan kota surabaya tolong tambah unit dong lumayan simpan motor alih pakai suroboyo bus wkwkwk,5,Positif
ok,5,Positif
pakai benar keren banget rasa jadul tau ap ini benar guna banget ap guna suka transportasi,5,Positif
ganti hp,5,Positif
lap jumat januari jam jalan basuki rahmat sya jalan jalur kiri pelan pelan tiba bus klakson belakang bikin kaget jatuh nyalip klakson ambil kanan dikit lajur kanan sepi rambu garis lurus panjang tolong kasih tau sopir maf terima kasih,1,Negatif
mayan puas,4,Positif
suka banget bis bikin pusing nyaman prjlnan,5,Positif
ok banget ,5,Positif
mantabz ,5,Positif
 tp kadang aplikasi eror,4,Positif
bantu karyawan,5,Positif
bantu manfat,5,Positif
bagus guna baru kasih prosedur suroboyo bus min ,3,Negatif
layan memuaskam terminal purabaya antri pangil daftar sebelemunya bus penuh pangil bus lanjut kecewa ,1,Negatif
ada bis suroboyonya,5,Positif
coba sip bintang,3,Negatif
susah akses ,1,Negatif
bantu masyarakat surabaya,5,Positif
gak faedah,1,Negatif
god,5,Positif
nyaman,5,Positif
sip,5,Positif
mantap,5,Positif
bagus,5,Positif
go bis lokasi suroboyo bus naik,5,Positif
bagus,5,Positif
kali muncul ada bis nya hp muncul bingung pulang rumah jauh ,3,Negatif
bagus,4,Positif
 posisi bus purabaya rajawali,4,Positif
bis nya bersih pegawai nya ramah santun ,5,Positif
cintah sekali,5,Positif
coba scan bus dekat bisa ayo aplikasi update maksimal bantu masyarakat surabaya,3,Negatif
sip ,5,Positif
gambar warna biru bis lacak pakai mending uninstal hp penuh,1,Negatif
bagus posisi bus muncul map rute halte nya muncul kecewa sekali telat kerja kali gara gara tungu bis tau posisi mana tolong baik aplikasi rakyat kayak ,1,Negatif
kelola kayak ya maksimal mantau bis bisa sih tolong ya diperbak biar mantau mempermhdah jalan,2,Negatif
maf aplikasi muncul posisi bus,2,Negatif
muncul ada bus nya,4,Positif
muncul akhir nyaman,4,Positif
posisi bus lagi pantau posisi bus ,1,Negatif
halte bis ya ,3,Negatif
habis update icon bis nya hilang ini tingkat basmi bug sebenernya ,2,Negatif
halte bis muncul gimana sih,1,Negatif
lokasi bis halte,1,Negatif
eror halte bis,1,Negatif
gk lihat posisi bis n halte,1,Negatif
ecek lokasi bus e sih bus transportasi sopire gangu aplikasi tolong aplikasi baik kalo layan bus oke,1,Negatif
,5,Positif
halte min daerah tiga waru sd kedungrejo mana gitu biar jarak bungur tangal ,4,Positif
aplikasi bagusan dlu dlu lokasi user bus nya lagi ,1,Negatif
daerah surabaya pakai ap bantu terminal bus cuman baik ap tambah fitur gps tentu posisi mana ntap,3,Negatif
jadwal jam operasional bus surabaya ,4,Positif
alhamdulilah ,5,Positif
bus malam jakarta solo sped cepat,5,Positif
aplikasi bantu tetapi max guna misal peta bus ada bus muncul sekali hanya warna biru polos tampil tlg sempurna aplikasi biar mengunakan jgn ambil untung pribadi habis downlod krg max capek deh moga cepat sempurna apl gob sby ,2,Negatif
ink gambar nunjukin bis hilang ya tolong cari tau kenapa tau bis mana,4,Positif
posisi bus jalan ada aplikasi cobak ,1,Negatif
terimakasih banyaksangat bantu,5,Positif
tolong armada unesa its banyak tungu lama banget tungu halte urip sumoharjo bis purabaya rajawali x unesa its gadateng terima kasih,4,Positif
bantu,5,Positif
unesa its malam turun mayjen sungkono coba turun mayjen sungkono juga go bis konsisten pelayananya tumpang sia tungu lama terimakasih ,4,Positif
bagus,5,Positif
kasih jadwal berangkat dong biar kita tau tungu halte,2,Negatif
surabaya bus tangal ,5,Positif
bagus bantu,5,Positif
god,5,Positif
mantap,5,Positif
puas,1,Negatif
manfat ,5,Positif
mantap,5,Positif
bagus,5,Positif
aplikasi mapny baru kalk tampak satelit gogle map,2,Negatif
bantu,5,Positif
bantu bis suroboyo jauh tungu angkot terima kasih bus suroboyo,5,Positif
ko gk dah maps gpsnya tolong baru aps,5,Positif
coba,4,Positif
top,5,Positif
mudah identifikasi ada tumpang,5,Positif
enak mantau lokasi bus dekat god banget deh,5,Positif
coba pakai sampah kertas juga kertas bekas printan skripsi,5,Positif
bus tumpuk operasi ya ,5,Positif
bingung serta lokasi nya bis wisata peta aja bingung naik,1,Negatif
saran buru buru ,1,Negatif
keren nih ap mudah guna angkut sub inovasi min ,5,Positif
msu langan,4,Positif
tau,3,Negatif
sayang aplikasi lengkap jadwal datang berangkat bus ,2,Negatif
bom coba moga aplikasi nya brmanfat warga kota surabaya,5,Positif
hebat,4,Positif
very god,5,Positif
kao tolong akungkutan margorejo ya anak sekolah,3,Negatif
semenjak ap tau ada bus deket mantap,5,Positif
aplikasi mudah aktivitas hari kota surabaya cinta terima kasih surabaya ,5,Positif
bantu ,5,Positif
bgs bantu aplikasi,5,Positif
mantap sudah saran saja angkot bikin sistem online bayar insyalah minat,5,Positif
ok,5,Positif
bantu bus tugas galak,5,Positif
manfat,5,Positif
peta bus bisa lihat,1,Negatif
bersih sahabat,5,Positif
lumayan bantu serelah lulqng kota ajak anak jalan kalo pengin bis n ajar sampah harga,5,Positif
mantap bu risma wajib gubernur jakarta,5,Positif
bus dari rakyat rakyat ini mantap salut risma yg juang warga fasilitas moderen kota mantap,5,Positif
fitur tungu halte revisi kali scan barcode tampak helper,5,Positif
bagus nyaman,5,Positif
ringan anak kos,5,Positif
bus tolong stand by kawasan bisnis kampus sore karena kali alami tungu bus habis ashar bus pas azan isya,3,Negatif
jalan mudah,5,Positif
aplikasi cacat menu eror ,1,Negatif
mantap,5,Positif
mantul,5,Positif
mohon tambah area surabaya barat daerah made sambikerep,3,Negatif
bantu,4,Positif
bagus n enak,5,Positif
bagus bar,5,Positif
mantap,5,Positif
aplikasi nya bantu sekali kali naik ,5,Positif
pagi unesa jam ya,5,Positif
pake ok sih ,4,Positif
kalo kota surabaya kota gitu bayar pakai sampah bisa khusus surabaya gitu ,5,Positif
luamayan,4,Positif
god,5,Positif
bagus banget p kantor bus moga jadwal konsisten trus sukses suroboyo bus,5,Positif
bus keren cangih bersih suroboyo bus ,5,Positif
god idea,5,Positif
bantu posisi bus,5,Positif
keren sangat bantu pantau ada bus lama nugu halte ,5,Positif
aplikasi guna instal macet rugi instal ini buang paket,1,Negatif
guna ajar mahasiswa,4,Positif
hebat,5,Positif
asli enak bagus posisi wisatawan mana turun kota pulang mana mesti cepat bisa ngumpulin sampah lagi tambah opsi beli tiket reguler dong biar buru buru pakai moda transportasi juga niat pakai keliling keliling batal sampah ,3,Negatif
bis suroboyo transportasi sekolah anak tabung seko bayar seko lanjut terimakasih suroboyo gbu always,5,Positif
ok,5,Positif
seneng rasa bis bersih harum bebas rokok dingin nyaman tertib smoga kondisi bu risma ytc jabat lagi amin armada bus tumpuk ,5,Positif
god ,5,Positif
bantu bagus,5,Positif
jalur gob surabaya,5,Positif
tukar botol banyak halte,3,Negatif
ok deh,4,Positif
gak tampil data apa aplikasi lumayan tunjuk bis real time muncul apa cuman menu,1,Negatif
donload seru banget deh asyik,1,Negatif
bagus bantu surabaya,5,Positif
klo deskripsi lengkap setengah apl bagus yg pengin jalan kota surabaya bantu ,3,Negatif
garis merah doang gambar bus terang lokasi ,1,Negatif
bagus sih banyak tempat tukar botol kartu stamp nya kalo tiap halte ribet bawa botol masuk dalam bus kondisi bus bersih sampah botol tumpuk leluasa dalam maju suroboyoku,5,Positif
sangat muas halte dekat denqan rumah bila kerja tidak kehilanqan onqkos kalau libur bisa jalan jalan dg cucuk bila nunqu bus td lama terima kasih,5,Positif
berangkat kerja pakai suroboyo bus tolong mikrolet lyn surabaya integrasi moda transportasi bas aplikasi ini surabaya smart city,5,Positif
mantap,5,Positif
maju,4,Positif
membantu,5,Positif
rute bus cuma layar biru aja gmna lihat rute kalo dah,2,Negatif
download bus nya mana hapus download,5,Positif
aplikasi bagus saja muncul posisi bis halte libur lebaran aplikasi rusak tolong pemberitahuanya ya terima kasih ,4,Positif
layan familiar bagus bersih nyaman,5,Positif
bus nya peta,1,Negatif
aplikasi gerak kayak map,1,Negatif
bantu posisi bus mana lama tungu halte,5,Positif
aplikasi nya ya,1,Negatif
sip,5,Positif
gobisurabaya,5,Positif
amazing,5,Positif
aplikasi go bis mantap,5,Positif
sip,5,Positif
aplikasi bagus kembang baik bagus bravo dishub surabaya,4,Positif
tolong baik aplikasi bagus sih lrbih bagus kasih tau naik mekanisme tukar botol tukar botol mana mudah akses bus suroboyo ,3,Negatif
terima kasih banget damri surabaya,5,Positif
update peta rute posisi bis keluar warna biru saja uninstal instal ulang itu why harus manfat ilmu terawang t t,1,Negatif
suka bis suroboyo bersih ramah lingkung,5,Positif
,5,Positif
terimakasih bu risma bus bantu biar hemat ongkos kemana,5,Positif
bagus pakai gampang,4,Positif
w rs wecec,2,Negatif
bagus banget tungu lama tau posisi bus tapi bus sepi sosialisasi kenal bus suroboyo tukar botol agen tukar botol mudah tingal pakai stiker bawa botol biar bikin ribet,5,Positif
akses lokolasi bus ,3,Negatif
tombol update lokasi user mhn tambah tombol order notifikasi bus dekat rute,4,Positif
jalur bis,5,Positif
informasi berangkat tau jadwal bis rute unesa its saja didlm rumah pakuwon city kampus unika widya mandala juga tolong rute kampus sejln timbang tambah terima kasih ,5,Positif
,5,Positif
lengkap jadwal nya,2,Negatif
kadang eror,5,Positif
top markotop,5,Positif
driver baru ramah mhn info jam bungurasih jam malam jam berangkat,1,Negatif
bagus senang,5,Positif
senang,5,Positif
bagus ,5,Positif
rute warna biru saja sudah unistal instal layar biru mohon baik gob bantu masyarakat,1,Negatif
ok,3,Negatif
bagus,5,Positif
ok,5,Positif
update ios,5,Positif
aplikasi bagus saran aplikasi tambah syarat tata guna suroboyo bus schedule kira bus halte point lokasi wisata cantum koridor jalan bus mudah warga wisata rasa suroboyo bus mudah sukses suroboyo bus ,4,Positif
akurasi datang halte ada ,3,Negatif
bantu,5,Positif
beguna msyarakat sby ditmbah rute biar masyarakat surabaya skitarnya tau mngenal sb surabaya terima kasih,5,Positif
info tanda bis jalan jam nya habis tungu sia sia maps bis nya jalan jalan ,4,Positif
semenjak auto update tangal feb map posisi bus muncul blas so ndk pakai,1,Negatif
moga jalan tambah jalur bis the best deh moga orang nikmat angkut,5,Positif
posisi bus hilang update sedih,1,Negatif
ayo bis,5,Positif
bantu,5,Positif
keluarga senang bus suboyo ini tugas ramah dan sopan jiadi favorid anak anak trimakasih,5,Positif
tolong info bis kota mikrolet ditambahin,5,Positif
update datang orang tungu halte gambar bus gerak peta ,4,Positif
aplikasi transjakarta akurat sekali ,1,Negatif
sip banget,5,Positif
bus muncul rute go bus,1,Negatif
jelek,1,Negatif
bagus,5,Positif
turun pingir jln alas bis balek garasi salah sopir bilang trayek mana turun pingir jln bawa anak mohon unk awas sopir erti tumpang ,1,Negatif
bantu,5,Positif
hm cb tampil jadwal berangkat bus gob penumpng kalkulasi keberngktan bus maju bu risma kota surabaya,4,Positif
map nya tiba sinkron tolong dishub map diupdate bisar lihat posisi bus nya mana padahal deh baru map aplikasi ngaruh ,2,Negatif
ok,5,Positif
ap update dgan gmap disbub mohon update ya ap sd bagus bagus kalo grab gojek tau posisi bus brada titik terima kasih,4,Positif
lokasi bus muncul map ,1,Negatif
simple stiap henti baik cantum,3,Negatif
bagus,5,Positif
mantab moga jaga ini depan aplikasi tau tumpang bus penuh tumpang terkadang kendala macet mng habis hujan ok deh,5,Positif
bantu cari bus,4,Positif
sip deh,5,Positif
tugas bis nya lumayan tegas tp senyum ramah ,3,Negatif
surabaya bayar ongkos bus pakai sampah terimakasih risma tugas bus lihat ramah tanya kupon ya tingal info bus nya jurus mana ,5,Positif
bantu,5,Positif
suport gogle map tampil peta nya modus malam,4,Positif
bantu,5,Positif
kalo maleman jam henti,3,Negatif
eror nya,2,Negatif
tolong cantum jam saja terima kasih,1,Negatif
god service,5,Positif
aplikasi muat layan gogle maps benar ya tau mana letak bus nya,1,Negatif
tampak posisi bus merah jarak tgu malam tgu selasa info tambah dab operasi semua ketik bus merah bus kuning ada ketik menit mana tuh terdetek mohon perhati trma kasih,1,Negatif
deteksi ya bis nya oke ,3,Negatif
tolong informasi estimasi berangkat its unesa jembatan merah bungurasih,3,Negatif
mas tungu jam ya ,2,Negatif
tolong jam datang bus diaps sesuai jalan bus unesa apsnya bus diunesa terima kasih ,2,Negatif
tambah armada baru kayak aplikasi ya ,5,Positif
surabaya,5,Positif
saran aplikasi kuota orang masuk lihat orang tungu halte bus naik penuh,5,Positif
baca langsung instal ok banget,5,Positif
saran saja mungkin informasi tarif transportasi terima kasih,5,Positif
jam jadwal berangkat ,3,Negatif
bawa botol alat pembayaranya,4,Positif
nungunya banget jam an jadwal jam,2,Negatif
armada tambahin tungu jam,3,Negatif
aplikasi mantap moga maju nyaman moda transportasi disurabaya,5,Positif
wkwk ap,1,Negatif
bug nya over al it s okay,5,Positif
aplikasi sesuai espektasi aplikasi untung mohon baik tungu,2,Negatif
posisi bis akurat benar harap depan akurat posisi bis bisa lampir jadwal berangkat bis matur suwun inovasi guna ,5,Positif
aplikasi bagus banget ,5,Positif
nungunya pakai banget jam jalan jalan bikin orang malas,3,Negatif
kalo pakai aplikasih pesan bus merah surabaya gampang online terimakasih dishub kota surabaya,5,Positif
mantap,5,Positif
lokasi bis jalur luar jalur bisa butuh kira rumah halte dekat tungu lama tungu halte bus penuh naik ,3,Negatif
maps akurat mohon dibenerin,3,Negatif
gob naik pakai botol uang,3,Negatif
jalur unesa its tungu jam lbh jadwal pasti kadang lambat kuliah enak bis brangkat,3,Negatif
aplikasi jalan sesuai ,1,Negatif
tingkat gps,5,Positif
tulis halaman muat gogpe maps benar update hm,4,Positif
wes apik tapi bis e kayak e ngenteni menit yolek kene gowo pacar enak onok seng dijak ngomong sakno seng jomblo min ,4,Positif
kalo mingu fungsi,5,Positif
coba dibebepara smartphone card beda eror mohon baik,2,Negatif
tolong baru maneh rodok eror aplikasi satu karo gogle maps,3,Negatif
kerjasama trafi transjakarta interface aplikasi trafi bagus mudah lihat ,3,Negatif
bagus cuman lacak aplikasi bus dekat nampil bis sb,5,Positif
aplikasi manfat,5,Positif
jalan aplikasi,2,Negatif
bagus sih tp sayang cari bus dekat muncul gak jwdl juga tlog baik apk nya,2,Negatif
tolong tambah jadwal tiap halte ,4,Positif
sinkron jalur bus pencet jurus mana muncul jurus,2,Negatif
aplikasi buka jalur bus,2,Negatif
singkron geogel nao,5,Positif
manajemen calon tumpang,1,Negatif
update ros kei jempol ful budhe,3,Negatif
jos,5,Positif
bantu kurang macet sayamg armada kurang ,5,Positif
tungu kembang,5,Positif
bingung susur kota surabaya kendara coba busuroboyo ini ,5,Positif
warga ktp non surabaya min ,4,Positif
suka,5,Positif
aplikasi keren tracking suroboyo bus lengkap rute transportasi surabaya tempat wisata surabaya,5,Positif
bis e kesuwen,5,Positif
jelek,1,Negatif
asih masuk bilamana bus surabaya penuh tolong kasih info aplikasi tumpang tahu jadi tungu bus nya penuh boleh naik sukses soroboyobus,3,Negatif
aplikasi nya lihat jalur aja gak informatif jadwal mana harga ada gak bantu nya nih aps kalo jalur mah lihat ig aslisurabaya lol,1,Negatif
god,5,Positif
bantu terima kasih ,5,Positif
tolong kasih tau pakai aplikasi ini hubung id line ernymay makasih sumpah tau ,5,Positif
ideal,5,Positif
update jalur nya beda ya unesa its jalur purabaya gt nungu nya jelas update,5,Positif
mantab,4,Positif
